name Esperite
cas 12
id 12
Raman_shift Intensity
307.0757 40.78961
307.5578 34.10068
308.0399 24.85223
308.5221 16.7226
309.0042 11.7446
309.4863 9.255188
309.9684 7.529053
310.4505 5.568451
310.9326 3.366516
311.4148 0.86557
311.8969 2.836761
312.379 5.758789
312.8611 7.488098
313.3432 8.1138
313.8253 7.547394
314.3075 5.660248
314.7896 3.097656
315.2717 1.510956
315.7538 1.371887
316.2359 1.52301
316.718 2.038635
317.2001 2.741058
317.6823 3.64856
318.1644 4.722992
318.6465 5.40976
319.1286 4.821777
319.6107 2.216766
320.0928 0.094116002
320.575 1.518311
321.0571 2.694519
321.5392 3.093658
322.0213 2.859863
322.5034 3.065063
322.9855 4.974579
323.4677 9.063324
323.9498 11.34888
324.4319 10.31668
324.914 9.158813
325.3961 9.480103
325.8782 11.09161
326.3604 13.0126
326.8425 14.55878
327.3246 15.78857
327.8067 17.42218
328.2888 19.55582
328.7709 21.92761
329.2531 24.8031
329.7352 27.81342
330.2173 30.21497
330.6994 31.612
331.1815 32.56299
331.6636 34.6098
332.1458 38.72681
332.6279 42.80841
333.11 46.54218
333.5921 50.30988
334.0742 54.44174
334.5563 59.01373
335.0385 64.11642
335.5206 69.9054
336.0027 76.93427
336.4848 83.2478
336.9669 88.19577
337.449 93.07782
337.9312 98.77216
338.4133 105.312
338.8954 112.124
339.3775 118.6685
339.8596 124.9177
340.3417 131.4536
340.8239 137.8686
341.306 144.9095
341.7881 152.3801
342.2702 160.7156
342.7523 170.8975
343.2344 183.6283
343.7166 198.2731
344.1987 211.6116
344.6808 220.057
345.1629 231.4158
345.645 246.8146
346.1271 265.2324
346.6093 285.7498
347.0914 307.8352
347.5735 331.4595
348.0556 356.226
348.5377 383.2553
349.0198 409.6887
349.502 434.9481
349.9841 460.119
350.4662 486.4967
350.9483 513.6891
351.4304 539.7437
351.9125 562.8245
352.3947 583.4422
352.8768 598.3596
353.3589 608.4907
353.841 611.7544
354.3231 606.8734
354.8052 594.3813
355.2874 575.0533
355.7695 549.0037
356.2516 517.0284
356.7337 482.8751
357.2158 444.0529
357.6979 406.3012
358.18 370.3049
358.6621 336.0751
359.1443 303.5073
359.6264 272.4043
360.1085 243.6046
360.5906 218.5636
361.0727 198.1714
361.5548 178.937
362.037 160.0607
362.5191 142.7155
363.0012 127.8257
363.4833 115.2836
363.9654 104.4115
364.4475 94.49524
364.9297 85.50836
365.4118 77.96722
365.8939 72.8175
366.376 68.17908
366.8581 63.49536
367.3402 58.73029
367.8224 53.79358
368.3045 48.37329
368.7866 42.98175
369.2687 39.46893
369.7508 38.86713
370.2329 37.36713
370.7151 32.98309
371.1972 27.65338
371.6793 23.16663
372.1614 20.12335
372.6435 18.07361
373.1256 16.32098
373.6078 14.73773
374.0899 14.00153
374.572 15.40924
375.0541 16.61914
375.5362 15.57312
376.0183 12.43689
376.5005 9.339905
376.9826 7.834656
377.4647 7.693909
377.9468 7.451721
378.4289 6.624451
378.911 6.297607
379.3932 7.687805
379.8753 10.04608
380.3574 11.91296
380.8395 12.24261
381.3216 12.43896
381.8037 14.57697
382.2859 18.69464
382.768 22.26459
383.2501 24.04413
383.7322 24.7124
384.2143 25.42877
384.6964 26.17554
385.1786 27.07703
385.6607 28.28015
386.1428 29.6853
386.6249 30.97736
387.107 32.00708
387.5891 33.09949
388.0713 34.30914
388.5534 35.64581
389.0355 38.49756
389.5176 43.80316
389.9997 50.3454
390.4818 56.83783
390.964 63.27667
391.4461 70.41974
391.9282 78.74432
392.4103 88.27679
392.8924 98.74945
393.3745 108.8998
393.8567 121.2529
394.3388 137.9314
394.8209 157.3739
395.303 176.6337
395.7851 194.9138
396.2672 211.9871
396.7494 227.9483
397.2315 244.0922
397.7136 255.3276
398.1957 262.5955
398.6778 264.1893
399.1599 257.8889
399.642 243.9964
400.1241 225.1714
400.6063 203.3412
401.0884 178.3215
401.5705 153.9736
402.0526 128.2106
402.5347 105.255
403.0168 86.49951
403.499 71.37555
403.9811 59.45459
404.4632 50.60883
404.9453 43.77509
405.4274 36.29828
405.9095 26.51086
406.3917 19.12433
406.8738 15.14996
407.3559 12.72028
407.838 11.11353
408.3201 9.869568
408.8022 8.090393
409.2844 4.540344
409.7665 0.985046
410.2486 4.876038
410.7307 6.225464
411.2128 6.786499
411.6949 6.809875
412.1771 6.455811
412.6592 5.927917
413.1413 5.347168
413.6234 4.583008
414.1055 3.128113
414.5876 0.432495
415.0698 1.306458
415.5519 1.094727
416.034 0.046691999
416.5161 1.601196
416.9982 3.677307
417.4803 5.059021
417.9625 4.763489
418.4446 2.915405
418.9267 0.107605
419.4088 4.28064
419.8909 8.399292
420.373 11.14294
420.8552 12.76227
421.3373 13.56604
421.8194 13.32599
422.3015 12.65881
422.7836 11.86102
423.2657 10.95007
423.7479 11.4444
424.23 14.46954
424.7121 18.81525
425.1942 22.27271
425.6763 24.43872
426.1584 27.68689
426.6406 33.36377
427.1227 40.70581
427.6048 48.66949
428.0869 57.21503
428.569 65.5069
429.0511 72.61481
429.5333 78.53864
430.0154 84.86395
430.4975 93.44128
430.9796 100.7035
431.4617 105.8621
431.9438 108.1373
432.426 105.1761
432.9081 95.46283
433.3902 81.4458
433.8723 68.79889
434.3544 57.1084
434.8365 47.73065
435.3187 41.8028
435.8008 37.45319
436.2829 33.07898
436.765 28.5918
437.2471 25.086
437.7292 23.71326
438.2114 24.53314
438.6935 24.90808
439.1756 23.4491
439.6577 23.19238
440.1398 25.32837
440.6219 29.06274
441.104 33.4306
441.5862 37.92749
442.0683 42.29266
442.5504 45.78918
443.0325 47.54907
443.5146 51.42059
443.9967 58.39417
444.4789 66.64655
444.961 75.7998
445.4431 85.79395
445.9252 96.40833
446.4073 106.9919
446.8894 117.6456
447.3716 129.8303
447.8537 144.3687
448.3358 159.0255
448.8179 172.5765
449.3 185.6133
449.7821 198.7463
450.2643 211.8734
450.7464 226.1509
451.2285 242.9974
451.7106 262.0184
452.1927 280.8081
452.6748 298.884
453.157 316.3683
453.6391 332.9037
454.1212 348.7643
454.6033 365.451
455.0854 382.649
455.5675 401.2001
456.0497 420.8726
456.5318 442.1382
457.0139 467.7051
457.496 498.5331
457.9781 535.1334
458.4602 579.801
458.9424 632.8259
459.4245 691.3241
459.9066 754.5314
460.3887 822.9731
460.8708 899.1828
461.3529 982.5621
461.8351 1067.854
462.3172 1152.149
462.7993 1235.352
463.2814 1303.876
463.7635 1364.226
464.2456 1403.714
464.7278 1417.333
465.2099 1408.965
465.692 1382.104
466.1741 1338.337
466.6562 1282.074
467.1383 1220.203
467.6205 1151.456
468.1026 1078.652
468.5847 999.4571
469.0668 918.5946
469.5489 835.6429
470.031 752.7004
470.5132 675.0159
470.9953 605.5721
471.4774 543.6116
471.9595 487.6018
472.4416 438.1669
472.9237 392.8685
473.4059 350.9207
473.888 313.0875
474.3701 280.5375
474.8522 253.6251
475.3343 230.1416
475.8164 209.9706
476.2986 192.4198
476.7807 175.1384
477.2628 157.5933
477.7449 141.4903
478.227 128.5129
478.7091 118.2142
479.1913 108.3757
479.6734 98.28979
480.1555 89.30774
480.6376 82.19019
481.1197 76.68109
481.6018 72.53845
482.0839 69.76971
482.566 67.41772
483.0482 64.09625
483.5303 59.42657
484.0124 55.0943
484.4945 51.1676
484.9766 47.47302
485.4587 43.64679
485.9409 39.97064
486.423 37.04388
486.9051 35.18719
487.3872 34.35156
487.8693 34.5827
488.3514 37.39886
488.8336 38.39429
489.3157 36.85376
489.7978 34.02173
490.2799 30.29047
490.762 25.96082
491.2441 21.59076
491.7263 17.34058
492.2084 13.44684
492.6905 11.30902
493.1726 11.76044
493.6547 11.97424
494.1368 10.42493
494.619 8.224915
495.1011 6.556763
495.5832 5.717041
496.0653 4.719543
496.5474 2.628357
497.0295 0.237915
497.5117 3.050659
497.9938 5.826111
498.4759 7.942871
498.958 8.653931
499.4401 8.182129
499.9222 7.866272
500.4044 8.612915
500.8865 8.684814
501.3686 6.149536
501.8507 2.412659
502.3328 0.636414
502.8149 1.968262
503.2971 4.283142
503.7792 4.460266
504.2613 1.471436
504.7434 0.0071410001
505.2255 1.730103
505.7076 3.117737
506.1898 1.998779
506.6719 0.738953
507.154 3.021545
507.6361 3.743774
508.1182 3.633728
508.6003 4.072327
509.0825 4.405518
509.5646 7.077393
510.0467 15.30713
510.5288 23.3642
511.0109 27.93573
511.493 29.4588
511.9752 30.36926
512.4573 31.75928
512.9394 33.82166
513.4215 37.28259
513.9036 42.40698
514.3857 47.3761
514.8679 51.53357
515.35 55.17883
515.8321 58.36694
516.3142 60.92957
516.7963 64.60046
517.2784 70.6499
517.7606 78.02979
518.2427 84.88403
518.7248 91.1637
519.2069 99.05957
519.689 110.3018
520.1711 124.2843
520.6533 137.5613
521.1354 151.4535
521.6175 163.1611
522.0996 172.0852
522.5817 178.65
523.0638 181.6023
523.546 181.6633
524.0281 183.0029
524.5102 189.5403
524.9923 201.1447
525.4744 215.4753
525.9565 234.9756
526.4387 253.9347
526.9208 272.1952
527.4029 288.9478
527.885 304.6017
528.3671 318.9636
528.8492 328.0383
529.3314 328.0273
529.8135 319.0992
530.2956 301.3314
530.7777 271.0417
531.2598 239.6306
531.7419 213.11
532.2241 190.4501
532.7062 170.0254
533.1883 151.2936
533.6704 135.4312
534.1525 123.5345
534.6346 115.0201
535.1168 108.4338
535.5989 103.4441
536.081 100.4762
536.5631 100.22
537.0452 102.8373
537.5273 105.6903
538.0095 106.3071
538.4916 109.8826
538.9737 117.942
539.4558 130.3232
539.9379 147.1404
540.42 168.2385
540.9022 192.3702
541.3843 217.5707
541.8664 245.3389
542.3485 272.4937
542.8306 307.0941
543.3127 341.8942
543.7948 378.5299
544.2769 413.2025
544.759 441.2292
545.2411 461.4069
545.7233 471.7832
546.2054 470.595
546.6875 457.6886
547.1696 428.832
547.6517 377.5529
548.1339 321.4607
548.616 272.4388
549.0981 230.0951
549.5802 194.5134
550.0623 166.6379
550.5444 144.8127
551.0266 129.2719
551.5087 118.7992
551.9908 110.6322
552.4729 103.9479
552.955 99.44434
553.4371 98.32898
553.9193 101.3942
554.4014 103.4973
554.8835 103.547
555.3656 103.3197
555.8477 102.6776
556.3298 102.6106
556.812 104.3497
557.2941 108.4391
557.7762 114.7673
558.2583 122.6691
558.7404 131.7321
559.2225 144.439
559.7047 161.3683
560.1868 181.589
560.6689 204.1425
561.151 228.9985
561.6331 256.437
562.1152 286.1345
562.5974 320.0038
563.0795 361.0082
563.5616 407.7462
564.0437 456.4144
564.5258 507.6285
565.0079 555.6639
565.4901 597.3805
565.9722 631.5986
566.4543 652.714
566.9364 660.8113
567.4185 656.2599
567.9006 638.1384
568.3828 607.3196
568.8649 562.6814
569.347 505.2428
569.8291 441.5297
570.3112 378.6133
570.7933 316.0844
571.2755 261.5684
571.7576 215.6736
572.2397 177.0448
572.7218 146.2365
573.2039 121.6078
573.686 101.9857
574.1682 86.88794
574.6503 74.69458
575.1324 63.5946
575.6145 54.00867
576.0966 48.57971
576.5787 48.50659
577.0609 48.37695
577.543 43.74597
578.0251 37.18567
578.5072 34.87671
578.9893 38.5415
579.4714 42.8324
579.9536 47.11877
580.4357 50.19482
580.9178 49.69348
581.3999 45.85803
581.882 42.01318
582.3641 40.51978
582.8463 41.3374
583.3284 44.2301
583.8105 50.84338
584.2926 57.2832
584.7747 63.75854
585.2568 69.63501
585.739 73.58301
586.2211 76.35999
586.7032 80.526
587.1853 88.54834
587.6674 98.94287
588.1495 107.2886
588.6317 113.3939
589.1138 118.793
589.5959 124.3551
590.078 129.0281
590.5601 132.3877
591.0422 134.4662
591.5244 132.6595
592.0065 123.6241
592.4886 112.3425
592.9707 102.5671
593.4528 94.44678
593.9349 87.69666
594.4171 82.23657
594.8992 77.91113
595.3813 74.32166
595.8634 70.9082
596.3455 70.05383
596.8276 74.41089
597.3098 78.16467
597.7919 78.58887
598.274 76.80115
598.7561 74.88196
599.2382 73.66272
599.7203 72.66724
600.2025 71.63489
600.6846 70.52588
601.1667 67.79504
601.6488 63.1106
602.1309 57.19519
602.613 49.90894
603.0952 41.82703
603.5773 34.02991
604.0594 25.87183
604.5415 19.4978
605.0236 16.89941
605.5057 16.43677
605.9879 15.85083
606.47 14.78333
606.9521 13.07239
607.4342 10.34607
607.9163 6.900269
608.3984 5.09082
608.8806 6.626831
609.3627 7.456543
609.8448 7.368042
610.3269 6.365479
610.809 3.466919
611.2911 0.607666
611.7733 3.041504
612.2554 1.251831
612.7375 2.854614
613.2196 5.353638
613.7017 6.303589
614.1838 5.444092
614.666 1.57959
615.1481 2.796753
615.6302 4.56543
616.1123 3.917847
616.5944 3.332031
617.0765 3.686279
617.5587 3.880737
618.0408 2.85022
618.5229 1.122559
619.005 0.061523002
619.4871 0.276855
619.9692 0.076172002
620.4514 0.503784
620.9335 1.069824
621.4156 1.118286
621.8977 0.946655
622.3798 0.166504
622.8619 4.478516
623.3441 8.784912
623.8262 8.453735
624.3083 2.578003
624.7904 3.237427
625.2725 3.335083
625.7546 0.441162
626.2367 3.401489
626.7188 5.415649
627.2009 5.387939
627.683 1.775146
628.1652 3.464233
628.6473 5.680786
629.1294 4.273804
629.6115 2.529175
